abstract,title,pmc,pmid,publication_year
"Introduction: Knee injuries are common in athletes, recreationists, and other people in their everyday activities. Objective: The study is aimed at establishing the validity of clinical findings, MRI and diagnostic arthroscopy of the knee in ACL, PCL, medial or lateral ligament lesions. Methods: The prospective research involved 63 inpatients at the Traumatology Clinic in Banja Luka- Niš between 1 January 2011 and 1 June 2012. Results: When clinically examining the ACL and based on the calculated post-test probability amounting to (LR+) = 0.8017, we conclude that there is a considerable probability (80.17%) that a patient with an arthroscopically diagnosed ACL lesion will have the same lesion diagnosed by MRI. The post-test probability following the clinical examination of the medial meniscus and amounting to (LR+) = 0.6943 suggests that there is a considerable probability (69.43%) that an arthroscopically diagnosed lesion of the medial meniscus will also be diagnosed by MRI. On the basis of the clinical examination of the lateral meniscus in the examined sample and calculated post-test probability amounting to (LR+) = 0.6346, we conclude that there is a considerable difference (63.46%) between the diagnostic arthroscopy and MRI of lateral meniscus lesions. Conclusion: Arthroscopic examination of the knee is a more valuable method than diagnosis by MRI and clinical examination for detecting lesions of the ACL, PCL, medial and lateral meniscus.",Validity of Magnetic Resonance Imaging in Knee Injuries,3804521,24167392.0,2013
"Introduction Cutting back on the staff and equipment and also reduction of costs and devices, balanced distribution of resources for optimal use and prevention of unreasonable costs for patients are some advantages of the fulfillment of referral system process. Accordingly the purpose of the present study is to determine factors affecting the fulfillment of referral system process from the viewpoints of clients of Isfahan’s public hospitals so that health system could benefit its advantages. Methodology The research is a descriptive-analytic survey and the population consisted of clients referring to public hospitals of Isfahan Province. Hospitals conforming to health network in cities of Falavarjan, ShahinShahr, Shahreza, Naein and some public hospitals of Isfahan city were selected for study. Cluster sampling was applied and at the end 400 subjects were selected by simple random sampling. Findings Results showed that awareness and satisfaction in urban communities and motivation in rural are of higher levels. Regarding insurance status, those covered by Social Security have the most referrals to all levels and those covered by Health Service Insurance have more referral to the first level. The mean score of awareness of clients about referral system among the hospitals investigated shows a significant difference (p-value≤0.05). Conclusion Results indicate that from the viewpoints of urban clients, the rate of the awareness of and satisfaction with the way of offering health services at primary levels and from that of rural clients motivation affect the fulfillment of referral system process. Therefore improvement of these factors could make the system more efficient.",A Survey on Clients’ Opinions in Isfahan’s Public Hospitals About Effective Factors in the Fulfillment of Referral System,3610579,23572863.0,2013
"Plans of patients with prostate tumor have been studied. These patients have been scanned in the CT simulator and the images have been sent to the Focal, the system where the doctor delineates the tumor and the organs at risk. After that in the treatment planning system XiO there are created for the same patients three dimensional conformal and intensity modulated radiotherapy treatment plans. The planes are compared according to the dose volume histograms. It is observed that the plans with IMRT technique conform better the isodoses to the planning target volume and protect more the organs at risk, but the time needed to create such plans and to control it is higher than 3D CRT. So it necessary to decide in which patients to do one or the other technique depending on the full dose given to PTV and time consuming in genereral.",Comparison of 3D CRT and IMRT Tratment Plans,3804479,24167395.0,2013
"Background Nowadays, World Wide Web is an accessible and widespread resource to attain medical information. So physicians and health institutions try to inform patients about different domains of medicine through Web. Addiction is a noteworthy subject in medicine and a controversial issue among them. However, quality of health information on the internet is doubtful. The objective of this study is to determine the quality of Persian addiction websites to offer recommendation for their improvement. Methods This was survey and an applied study that the study population was all Persian addiction websites. Sample of this study was 28 Persian addiction website which were chosen by searching Persian equivalences of  7  key terms (addiction, addict, addiction center, drug, treatment of addiction, recovery of addiction, addiction withdrawal) into the Google and Yahoo search engines. Finally, the websites were ranked based on the Silberg, DISCERN and WQET instruments. Data were analyzed with Excel software using descriptive statistics. Results The overall mean of websites in Silberg, DISCERN and WQET instruments were 1.42, 41.89, 64.57. Also the results showed that “Unit of Substance Abuse Treatment” belonging to Mashhad University of Medical Sciences was ranked first based on the Silberg, DISCERN and WQET instruments. 5 (from total of 9), 60 (from total of 80) and 82 (from total of normalized grade 82) were grades for this website for these instruments respectively. Conclusion It showed that the quality of Persian websites according to Silberg, DISCERN and WQET instruments was “low”, “more than half” and “very good” respectively. Not assigning date of entering data, author names, and references of information (authority) were most important missing characteristics of these websites. In addition, lack of interactive opportunities like chat rooms was another problem that leads to dissatisfaction of users.","Quality of Persian Addiction Websites: A Survey Based on Silberg, Discern and Wqet Instruments (2011)",3610591,23572862.0,2013
"Buerger’s disease (BD) is a relatively rare thrombotic, occlusive and non-atherosclerotic clinical syndrome of unknown etiology. In recent years, numerous epidemiological studies confirmed the strong association between chronic anaerobic periodontal infection and development of cardiovascular diseases, including BD. Therefore, the aim of this study is to clarify association between periodontal pathogens and Buerger’s disease. Confirmation of presence and identification of periopathogens in patients with BD can be considered crucial in developing novel therapies for BD. Further, periodontal therapy will lead to eventual improvement of BD patients’ condition.",Periodontitis and Buerger’s Disease: Recent Advances,3916172,24554799.0,2013
"Background The position of General Internal Medicine in the Islamic countries in the Middle East has been investigated in the present study. Material and methods  The scientific productions of the countries in the area on Web of science database during 1990-2011 constitute were examined. Results  The result of the survey showed that the share of these countries in world scientific productions is very low. Turkey, Saudi Arabia and Iran are the first to third ones in this domain in order. In view of annual growth rate, Kuwait having high growth rate, is the first one. Libya and Syria are the next ones. The scientific poverty line of Islamic countries in the area was surveyed. The result showed that in view of the scientific poverty line, the highest is Kuwait with the population of 0.04 percent of the world. Next to it, Saudi Arabia and Bahrain are the second and third ones. Conclusion The results of this research showed that the share of Islamic countries in the Middle East in scientific production of this medicine domain is very low. It needs to be paid more attention by the countries in the area.",A Scientometric Study of General Internal Medicine Domain Among Muslim Countries of Middle East (1991 – 2011),3610590,23572864.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Aim The aim of this study is to present differences of amplitude and latency of P300 wave between examinees with mild cognitive impairment and examinees from the control group. Methods A cross-section study was performed between April 1 st  and July 10 th  2012, with the diagnosis of mild cognitive impairment as the main criterion for inclusion. In the twenty-two examinees who participated in the research, mild cognitive impairment was confirmed by neuropsychological testing, following which they were subjected to the examination of auditory evoked potentials. The control group consisting of 22 examinees, for which the lack of the same diagnosis was previously ascertained, was also subjected to the examination of auditory evoked potentials. The main findings were the differences in the latency and amplitude size of P300 wave targeted and non-targeted stimuli. Results The latency of P300 wave targeted stimuli in patients with mild cognitive impairment has, in statistical terms, proven to be significantly longer when compared to the control group. The average latency length in those with MCI amounted to 306.18 ms, whereas the latency in the control group came to 295.95 ms. Similarly, the latency length of non-targeted stimuli turned out to be statistically higher, with the length of 320.00 ms in the former group, and 301.36 ms in the latter. Amplitudes in patients with mild cognitive impairment were lower in comparison to the control group, with extremely low amplitudes recorded in 36.36% of patients. Conclusion In patients with mild cognitive impairment extended latency and lower amplitude of P300 wave are recorded.",P300 Evoked Potential in Patients with Mild Cognitive Impairment,3766544,24039332.0,2013
"Introduction: One of the key strategies for marketing new drugs to physicians is personal selling by pharmaceutical sales representatives (PSRs). Goal: The aim of this study was to determine which features of PSR’s are most valued by Slovenian family physicians (FPs). Methods: We performed a cross-sectional observational postal survey in FPs. We sent the invitation for cooperation in the study to all Slovenian FPs working in family practices at the primary level of care (N = 895). Data was collected using a validated PSRs’ assessment scale. It consists of 12 questions on PSRs’ assessment that could be answered on a seven-point Likert scale. Results: The response rate was 27.6%. There were 174 (70.4%) of female physicians among the respondents. Average age of the respondents was 48.3 ± 9.0 years. Highly assessed PSRs’ characteristics were “Provides objective product information”, “Does not mislead”, and “Shows good knowledge on the subject promoted”. Worst rated PSRs’ characteristics were “Possesses knowledge on health care system”, “Same person for the product of company for a longer period of time”, and “Acts friendly”. Conclusions: Slovenian FPs value PSRs’ selling and communication skills and trustworthiness highly. FPs and PSRs develop a personal relationship which reflects in different perceptions of various PSRs’ characteristics by FPs.",Which Pharmaceutical Sales Representatives’ Features do Slovenian Family Physicians Value?,3916158,24554801.0,2013
"In this article, an interference caused by hemoglobin H (Hb H), during the measurement of hemoglobin A1c (HbA1c) with ion exchange high pressure liquid chromatography (HPLC) method, was presented in blood sample of a 20-year-old male patient. HbA1c measurement was performed with Agilent 1200 HPLC system using a commercial Recipe HbA1c ion-exchange column. Hemoglobin electrophoresis was performed with Interlab G26 agarose electrophoresis automated compact system. HbA1c level was 18.2% and HbA0 level was 81.5% with ion-exchange HPLC method. Patient’s fasting serum glucose was assessed before HbA1c measurement and the result was 165 mg/dL (9.16 mmol/L). On the other hand, the result of HbA0 was 87.9%, Hb H was 10.8% and Hb A2 was 1.3% with electrophoresis. Whole blood test values were within reference ranges except MCV. MCV value was 79.6 fL. It is important to keep in mind that HbA1c level might be considered falsely high with ion-exchange HPLC method because of Hb H containing sample.",Hb H Interference on Measurement Of HbA1c With Ion-Exchange HPLC,3804497,24167397.0,2013
"Background: Self-care management could empower patients to management of their health. Tele-health is the remote exchange of data between a patient and medical staff to improve healthcare quality. The aim: The aim of this research was developing common data elements to provide Tele self-care management and improve quality of care. Materials and methods: This was a cross-sectional study based on Delphi approach was done in 2011. Data was extracted by three sessions’ of conversation with 20 faculty members. Data had more than 75% agreement was inserted in minimum data element list, data with lower than 50% agreement was considered as failed data and whom was agreed between 50%-75% of participants were reconsidered for conversation until three sessions and after re-voting it was failed or accepted. Results: Results showed that self-care divides in three main categories and also some sub-categories including:1-Immunity and Safety with two subcategories (A: Prevention of Disease and B: Awareness and Knowledge about Disease); 2-Health Security and Maintains in six subcategories (A: Labratoary Test Results; B: Vital Data Monitoring; C: Rehabilitation; D: Drug Information; E: Follow up and F: Dental Health), 3- Well-Being Education in four subcategories (A: Nutrition; B: Health Promotion; C: Life Style Improvement and D: Patient Activity). Discussion: Consideration of all aspects of self management including information about prevention of disease, knowledge about disease, laboratory test result, vital signs monitoring, rehabilitation, drug information, follow up, dental health, nutrition, health promotion, life style improvement and patient activities is necessary.",Development of Common Data Elements to Provide Tele self-Care Management,3916175,24554797.0,2013
"Introduction: Hospital accreditation is a multi-factorial issue. The aim of the current study was to accredit social security organization and university hospitals (that certificated by ISO 9001-2008) in Isfahan, the second largest city of Iran, based on Joint Commission International (JCI) accreditation standards. Methods: Accreditation of four hospitals was evaluated and compared in a cross-sectional study. Seven checklists were driven from patient-centered JCI accreditation standards to cover indices of access of patients to care and continuity of care (ACC), patients and families rights (PFR), patients and families education (PFE), assessment of patients (AOP), care of patients (COP), analgesic and surgical care (ASC), and medication management and use (MMU). They were filled out by seven inspectors. The findings were analyzed by SPSS 14 (SPSS Inc., Chicago, IL). Results: Beheshti and Zahra hospitals demonstrated the lowest and the highest mean levels preparation, respectively (60 vs. 68.5 percent, respectively). Also, Beheshti hospital revealed the lowest prepared levels in AOP, ASC, MMU and PFE among all evaluated hospitals; the corresponding mean amounts of preparation were 68, 82.5, 56 and 42 percent, respectively. Whereas Zahra hospital showed the highest prepared levels in AOP, COP, MMU and PFE among all evaluated hospitals; the mean amounts of preparation were 82, 61.5, 84 and 57 percent, respectively. No significant difference was found among the four hospitals in any of the seven indices. Discussion: The four evaluated hospitals were not fully prepared to present the best possible patient-centered care system.",External Evaluation of Four Hospitals According to Patient-centred Care Standards,3804481,24167387.0,2013
"Introduction: Therapeutic ultrasound is a physical modality which is constantly expanding range of indications. Analgesic effect of ultrasound is still under discussion. Regardless the extensive application of pulsed ultrasound of low intensity, continuous ultrasound has a better analgesis effect, which is explained by its mechanism of action. Aims: The main research objective of this study was to determine the effect of continuous ultrasound to pain caused by degenerative diseases of the musculoskeletal system in the intensity and duration of ultrasound treatment. Other objectives are entailed determining the correlation between the degree of pain reduction with: location of pain, age, gender and body mass index (BMI). Material and methods: The study included 68 patients with chronic pain localized in the region of the spine or major joints of the extremities, depending on the localization of the degenerative changes. Patients are divided into two groups. The first group was treated with 10 applications of continuous ultrasound with frequency of 1 MHz, intensity 0.4 W/cm2 for 8 minutes, and the other group with 10 applications of ultrasound with frequency of 1 MHz, intensity 0.8 W/cm 2 for 4 minutes. Results and Discussion: Pain intensity was assessed before and after ultrasound therapy performed by subjective visual analogue scale (VAS) for pain, numbered from 0-10, where 0 is the rating for the state of no pain, and 10 grades for severe pain. The average VAS improvement in the first group was 3.97, and 4.74 in second one. The results of F (1.66) = 2.93, p = 0.09 analysis of variance showed no significance difference between the average improvement of two groups. Correlation between the degree of pain reduction showed significance only with BMI, or that higher BMI is associated with a lower degree of pain reduction. The results of this study showed that application of continuous ultrasound in patients with chronic pain, caused by degenerative changes in the musculoskeletal system, led to a significant reduction in pain. Different intensity and duration of ultrasound application showed no significant effect on the degree of pain reduction. Body mass index showed significant negative correlation with the degree of pain reduction, but age, gender and location of pain did not show significant correlation.",Therapeutic Ultrasound and Pain in Degenerative Diseases of Musculoskeletal System,3804475,24167385.0,2013
"Introduction: Osteoporosis is a disease characterized by a decrease in bone mineral density, making bones become less rigid, and therefore susceptible to fractures, either spontaneously or with force, which is lower than otherwise needed for healthy bones fractured. Nearly 10% of the world population and 30% of women after menopause, suffer from osteoporosis. Clinical assessment of osteoporosis in family medicine is key to prevention, early detection and treatment of osteoporosis. Objective: To investigate the possibility of early detection and diagnosis of osteoporosis by analyzing the risk factors for osteoporosis and to compare the results with the parameters obtained by ultrasound densitometry of calcaneus, and determine the relationship of calcaneus densitometry with DXA findings, as the gold standard for the diagnosis of osteoporosis. Patients and methods: The study included all patients of Family Medicine Kalesija Team 1, aged 50 years and over, a total of 711 patients, of whom 425 were women and 286 men. In all patients we assessed the existence of the following risk factors for osteoporosis: Constitutional: gender, age, weight, constitution, menarche and menopause, loss of height and stooped posture; Living habits: smoking, alcohol consumption, coffee, physical activity, and medications: long-term use corticosteroids, anticonvulsants, antacids, thyroid hormones. Comorbidity: history of fractures, hyperthyroidism, COPD, Chussing’s disease, diabetes. In the group of high-risk patients determined by the clinical assessment, quantitative ultrasound densitometry screening was carried out. Monitoring parameters derived with densitometry: the value of T-score, BUA (Broadband Ultrasound Attenuation), SOS (Speed of Sound), QUI (Quantitative Ultrasound Index). To confirm the diagnosis of osteoporosis, in all patients with positive findings using ultrasound densitometry (T score lower than 2.5), another densitometry was performed by standard DXA method. Results: The incidence of osteoporosis was 96% in women and 4% in men. Differences in prevalence between men and women are statistically significant. People with and without osteoporosis significantly differ in gender, age, weight, constitution (BMI-Body Mass Index). The parameters that distinguish those with and without osteoporosis: age, weight, height, BMI, gender. Out of the total of 711 patients, in 11% of patients the clinical evaluation showed the existence of high risk of osteoporosis. In 9.8% patients, the values were determined by ultrasound densitometry, where T score was lower than 2.5 what induces a high risk of fractures, and for 8.8% patients the DXA confirmed the diagnosis of osteoporosis. Conclusion: Clinical assessment of osteoporosis in the family medicine clinic performed in timely and focused history of risk factors for osteoporosis, with additional findings from quantitative densitometry of calcaneus, was sufficient for the early detection and screening of patients with high risk for osteoporosis. With good clinical assessment of osteoporosis it will be necessary to send all patients who enter the high-risk group to undergo ultrasound densitometry of calcaneus, to make it possible to determine the risk of bone fractures and osteoporosis in time, and then refer patients for further processing and DXA measurements according to the guidelines by the WHO.",Assessment of Osteoporosis in Family Medicine Obtained by Ultrasound Densitometry,3916165,24554805.0,2013
